CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
37680230105965,0608610,11126,Active,San Diego,Chula Vista Elementary,Salt Creek Elementary,1055 Hunte Parkway,1055 Hunte Pkwy.,Chula Vista,91914-3622,CA,1055 Hunte Parkway,1055 Hunte Pkwy.,Chula Vista,91914-3622,CA,(619) 397-5494,No Data,(619) 397-4669,http://schools.cvesd.org/schools/saltcreek/,2004-09-07 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.649018,-116.94925,Gloria,Montano-Velarde,2022-09-01,Y
37680230108662,0608610,11127,Active,San Diego,Chula Vista Elementary,Veterans Elementary,1550 Magdalena Avenue,1550 Magdalena Ave.,Chula Vista,91913-3948,CA,1550 Magdalena Avenue,1550 Magdalena Ave.,Chula Vista,91913-3948,CA,(619) 216-1226,No Data,(619) 216-9226,http://schools.cvesd.org/schools/veterans/,2005-07-19 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.623835,-116.97634,Erika,Gregg,2023-09-21,Y
37680230114009,0608610,11875,Active,San Diego,Chula Vista Elementary,Wolf Canyon Elementary,1950 Wolf Canyon Loop,1950 Wolf Canyon Loop,Chula Vista,91913-3948,CA,1950 Wolf Canyon Loop,1950 Wolf Canyon Loop,Chula Vista,91913-3948,CA,(619) 482-8877,No Data,(619) 482-7766,http://schools.cvesd.org/schools/wolfcanyon/,2007-07-17 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.611931,-116.97324,Robert,Pollack,2024-07-22,N
37680230119594,0608610,12425,Active,San Diego,Chula Vista Elementary,Leonardo da Vinci Health Sciences Charter,229 East Naples,229 East Naples,Chula Vista,91911-2332,CA,PO Box 8830,PO Box 8830,Chula Vista,91912-8830,CA,(619) 420-0066,No Data,(619) 420-0677,http://www.davincicharter.org,2009-08-24 00:00:00,No Data,Y,1082,Directly funded,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,0601992,32.619689,-117.04798,Courtney,Cox,2023-02-09,N
37680230127431,0608610,13096,Active,San Diego,Chula Vista Elementary,Camarena (Enrique S.) Elementary,1650 Exploration Falls Drive,1650 Exploration Falls Dr.,Chula Vista,91915-1961,CA,1650 Exploration Falls Drive,1650 Exploration Falls Dr.,Chula Vista,91915-1961,CA,(619) 591-5500,630100,(619) 427-0463,http://schools.cvesd.org/schools/camarena/,2013-07-24 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.622811,-116.95651,Jason,Soileau,2022-09-01,Y
37680230131474,0608610,14135,Active,San Diego,Chula Vista Elementary,Special Education Preschool,"84 East J Street, Room 301","84 East J St., Rm. 301",Chula Vista,91910-6115,CA,"84 East J Street, Room 301","84 East J St., Rm. 301",Chula Vista,91910-6115,CA,(619) 425-9600,1700,(619) 585-0976,http://www.cvesd.org,2014-07-23 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,08,Preschool,SPEC,Special Education School,PS,Preschool,P,No Data,N,No Data,Y,No Data,32.631632,-117.05816,Sharon,Casey,2019-08-19,No Data
37680230135277,0608610,14127,Active,San Diego,Chula Vista Elementary,Muraoka (Saburo) Elementary,1644 Santa Alexia Avenue,1644 Santa Alexia Ave.,Chula Vista,91915,CA,84 East J Street,84 East J St.,Chula Vista,91910,CA,(619) 216-5599,No Data,(619) 216-3377,http://www.cvesd.org,2017-07-19 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.615167,-116.99163,Veronica,Konkoly,2023-09-22,Y
37680230138073,0608610,14260,Active,San Diego,Chula Vista Elementary,Learning Choice Academy - Chula Vista,"881 Kuhn Drive Suite, 106","881 Kuhn Dr. Ste., 106",Chula Vista,91914-3563,CA,"4215 Spring Street Suite, 127","4215 Spring St. Ste., 127",La Mesa,91941,CA,(619) 463-6801,No Data,(619) 397-0221,http://www.learningchoice.org,2018-08-27 00:00:00,No Data,Y,2001,Directly funded,52.0,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,C,N,N,0602122,32.652419,-116.96551,Debi,Gooding,2025-05-23,N
37680230141218,0608610,14615,Active,San Diego,Chula Vista Elementary,Fahari L. Jeffers Elementary,1145 Camino Prado,1145 Camino Prado,Chula Vista,91913,CA,84 East J Street,84 East J St.,Chula Vista,91910,CA,(619) 425-9600,No Data,No Data,No Data,2022-07-20 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,C,N,Y,No Data,32.598209,-116.99801,Peter,Selleck,2024-07-22,Y
37680230142471,0608610,14728,Active,San Diego,Chula Vista Elementary,Sonia Sotomayor Elementary,1790 Santa Christina Avenue,1790 Santa Christina Ave.,Chula Vista,91913,CA,1790 Santa Christina Avenue,1790 Santa Christina Ave.,Chula Vista,91913,CA,(619) 425-9600,800100,No Data,http://www.cvesd.org/schools/new-otay-ranch-village-2-school,2024-07-24 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.609777,-116.99349,Martha-Irene,Garza,2025-05-23,Y
37680236037824,0608610,00856,Active,San Diego,Chula Vista Elementary,Castle Park Elementary,25 Emerson Street,25 Emerson St.,Chula Vista,91910-3309,CA,25 Emerson Street,25 Emerson St.,Chula Vista,91910-3309,CA,(619) 422-5301,No Data,(619) 422-4452,http://schools.cvesd.org/schools/castlepark/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.615057,-117.05726,Alicia,Flores,2023-02-09,N
37680236037832,0608610,00855,Active,San Diego,Chula Vista Elementary,Allen (Ella B.) Elementary,4300 Allen School Road,4300 Allen School Rd.,Bonita,91902-2309,CA,4300 Allen School Road,4300 Allen School Rd.,Bonita,91902-2309,CA,(619) 479-3662,No Data,(619) 267-6237,http://schools.cvesd.org/schools/allen/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.656765,-117.03358,Lizeth,Lopez,2024-07-22,N
37680236037840,0608610,00875,Active,San Diego,Chula Vista Elementary,Rohr (Fred H.) Elementary,1540 Malta Avenue,1540 Malta Ave.,Chula Vista,91911-5999,CA,1540 Malta Avenue,1540 Malta Ave.,Chula Vista,91911-5999,CA,(619) 420-5533,No Data,(619) 476-0850,http://schools.cvesd.org/schools/rohr/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.602452,-117.04055,Nicole,Dougherty,2024-10-22,N
37680236037857,0608610,00874,Active,San Diego,Chula Vista Elementary,Rogers (Greg) Elementary,510 East Naples Street,510 East Naples St.,Chula Vista,91911-2519,CA,510 East Naples Street,510 East Naples St.,Chula Vista,91911-2519,CA,(619) 656-2082,No Data,(619) 421-1423,http://schools.cvesd.org/schools/rogers/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.611251,-117.07781,Andrew,Falconer,2025-03-27,N
37680236037865,0608610,00860,Active,San Diego,Chula Vista Elementary,Halecrest Elementary,475 East J Street,475 East J St.,Chula Vista,91910-6499,CA,475 East J Street,475 East J St.,Chula Vista,91910-6499,CA,(619) 421-0771,No Data,(619) 421-8746,http://schools.cvesd.org/schools/halecrest/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.634394,-117.04331,Krista,Cardenas,2024-10-22,N
37680236037873,0608610,00861,Active,San Diego,Chula Vista Elementary,Harborside Elementary,681 Naples Street,681 Naples St.,Chula Vista,91911-1619,CA,681 Naples Street,681 Naples St.,Chula Vista,91911-1619,CA,(619) 422-8369,No Data,(619) 422-7361,http://schools.cvesd.org/schools/harborside/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.609058,-117.08551,Luis,Aparicio,2025-02-18,Y
37680236037881,0608610,00857,Active,San Diego,Chula Vista Elementary,Cook (Hazel Goes) Elementary,875 Cuyamaca Avenue,875 Cuyamaca Ave.,Chula Vista,91911-1501,CA,875 Cuyamaca Avenue,875 Cuyamaca Ave.,Chula Vista,91911-1501,CA,(619) 422-8381,No Data,(619) 427-3407,http://schools.cvesd.org/schools/cook/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.625934,-117.05620,Anthony,Morales,2024-07-22,N
37680236037899,0608610,00862,Active,San Diego,Chula Vista Elementary,Hilltop Drive Elementary,30 Murray Street,30 Murray St.,Chula Vista,91910-6020,CA,30 Murray Street,30 Murray St.,Chula Vista,91910-6020,CA,(619) 422-8323,No Data,(619) 691-1375,http://schools.cvesd.org/schools/hilltop/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.632209,-117.06414,Charles,Grisier,2023-09-22,N
37680236037907,0608610,00865,Active,San Diego,Chula Vista Elementary,Lauderbach (J. Calvin) Elementary,390 Palomar Street,390 Palomar St.,Chula Vista,91911-3182,CA,390 Palomar Street,390 Palomar St.,Chula Vista,91911-3182,CA,(619) 422-1127,No Data,(619) 426-5875,http://schools.cvesd.org/schools/lauderbach/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.620279,-117.07566,Paulina,Martinez-Perez,2024-07-22,Y
37680236037915,0608610,00868,Active,San Diego,Chula Vista Elementary,Montgomery (John J.) Elementary,1601 Fourth Avenue,1601 Fourth Ave.,Chula Vista,91911-5799,CA,1601 Fourth Avenue,1601 Fourth Ave.,Chula Vista,91911-5799,CA,(619) 422-6131,No Data,(619) 426-6836,http://schools.cvesd.org/schools/montgomery/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.597875,-117.06900,Felicitas,Rayray,2023-09-22,N
37680236037923,0608610,00864,Active,San Diego,Chula Vista Elementary,Kellogg (Karl H.) Elementary,229 East Naples Street,229 East Naples St.,Chula Vista,91911-2399,CA,229 East Naples Street,229 East Naples St.,Chula Vista,91911-2399,CA,(619) 420-4151,No Data,(619) 498-1433,http://schools.cvesd.org/schools/kellogg/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.619721,-117.04805,Elizabeth,Carzoli,2025-02-18,N
37680236037931,0608610,00873,Active,San Diego,Chula Vista Elementary,Rice (Lilian J.) Elementary,915 Fourth Avenue,915 Fourth Ave.,Chula Vista,91911-2098,CA,915 Fourth Avenue,915 Fourth Ave.,Chula Vista,91911-2098,CA,(619) 420-7071,No Data,(619) 420-6124,http://schools.cvesd.org/schools/rice/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.619137,-117.07569,Veronica,Delgado,2023-09-21,Y
37680236037949,0608610,00866,Active,San Diego,Chula Vista Elementary,Loma Verde Elementary,1450 Loma Lane,1450 Loma Ln.,Chula Vista,91911-5310,CA,1450 Loma Lane,1450 Loma Ln.,Chula Vista,91911-5310,CA,(619) 420-3940,No Data,(619) 422-2667,http://schools.cvesd.org/schools/lomaverde/pages/home,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.601123,-117.04889,Bree,Watson,2021-03-24,Y
37680236037956,0608610,00858,Active,San Diego,Chula Vista Elementary,Feaster (Mae L.) Charter,670 Flower Street,670 Flower St.,Chula Vista,91910-1327,CA,670 Flower Street,670 Flower St.,Chula Vista,91910-1327,CA,(619) 422-8397,2999,(619) 422-4780,http://feaster.cvesd.org/,1980-07-01 00:00:00,No Data,Y,0121,Directly funded,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,0602173,32.642227,-117.09686,Rosario,Villareal,2022-01-21,Y
37680236037964,0608610,00859,Active,San Diego,Chula Vista Elementary,Finney (Myrtle S.) Elementary,3950 Byrd Street,3950 Byrd St.,San Diego,92154-1799,CA,3950 Byrd Street,3950 Byrd St.,San Diego,92154-1799,CA,(619) 690-1334,No Data,(619) 428-4138,http://schools.cvesd.org/schools/finney/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.584496,-117.04839,Rachel,Scott,2024-10-22,N
37680236037972,0608610,00871,Active,San Diego,Chula Vista Elementary,Palomar Elementary,300 East Palomar Street,300 East Palomar St.,Chula Vista,91911-3799,CA,300 East Palomar Street,300 East Palomar St.,Chula Vista,91911-3799,CA,(619) 420-0134,No Data,(619) 420-8416,http://schools.cvesd.org/schools/palomar/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.613776,-117.04282,Amber,MacDonald,2024-07-22,N
37680236037980,0608610,00869,Active,San Diego,Chula Vista Elementary,Mueller Charter (Robert L.),715 I Street,715 I St.,Chula Vista,91910-5112,CA,715 I Street,715 I St.,Chula Vista,91910-5112,CA,(619) 422-6192,No Data,(619) 422-0356,http://www.muellercharterschool.org,1980-07-01 00:00:00,No Data,Y,0064,Directly funded,52.0,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,P-12,K-12,N,N,Y,0601578,32.626229,-117.09284,Maureen,DeLuca,2024-08-08,Y
37680236037998,0608610,00876,Active,San Diego,Chula Vista Elementary,Rosebank Elementary,80 Flower Street,80 Flower St.,Chula Vista,91911-1997,CA,80 Flower Street,80 Flower St.,Chula Vista,91911-1997,CA,(619) 422-8329,No Data,(619) 422-5014,http://schools.cvesd.org/schools/rosebank/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.649741,-117.07336,Teresa,Echanove-Merghart,2023-02-09,N
37680236038004,0608610,00877,Active,San Diego,Chula Vista Elementary,Silver Wing Elementary,3730 Arey Drive,3730 Arey Dr.,San Diego,92154-2422,CA,3730 Arey Drive,3730 Arey Dr.,San Diego,92154-2422,CA,(619) 423-3950,No Data,(619) 423-7438,http://schools.cvesd.org/schools/silverwing/,1968-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.578749,-117.05258,M. Theresa,Corona,2019-12-05,Y
37680236038012,0608610,00878,Active,San Diego,Chula Vista Elementary,Sunnyside Elementary,5430 San Miguel Road,5430 San Miguel Rd.,Bonita,91902-2209,CA,5430 San Miguel Road,5430 San Miguel Rd.,Bonita,91902-2209,CA,(619) 479-0571,No Data,(619) 479-7297,http://schools.cvesd.org/schools/sunnyside/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.674619,-117.01545,Delia,Arancibia,2023-02-09,N
37680236038020,0608610,00880,Active,San Diego,Chula Vista Elementary,Valle Lindo Elementary,1515 Oleander Avenue,1515 Oleander Ave.,Chula Vista,91911-5699,CA,1515 Oleander Avenue,1515 Oleander Ave.,Chula Vista,91911-5699,CA,(619) 421-5151,No Data,(619) 421-1802,http://schools.cvesd.org/schools/vallelindo/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.604937,-117.03275,Ashley,Vasquez,2021-03-24,Y
37680236038038,0608610,00881,Active,San Diego,Chula Vista Elementary,Valley Vista Elementary,3724 Valley Vista Way,3724 Valley Vista Way,Bonita,91902-1139,CA,3724 Valley Vista Way,3724 Valley Vista Way,Bonita,91902-1139,CA,(619) 479-7171,No Data,(619) 479-7024,http://schools.cvesd.org/schools/valleyvista/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.659676,-117.04907,Araceli,Ibarra Roman,2022-09-01,Y
37680236038046,0608610,00882,Active,San Diego,Chula Vista Elementary,Vista Square Elementary,540 G Street,540 G St.,Chula Vista,91910-3604,CA,540 G Street,540 G St.,Chula Vista,91910-3604,CA,(619) 422-8374,No Data,(619) 691-1086,http://schools.cvesd.org/schools/vistasquare/,1943-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.635041,-117.08832,Ruth,Diaz De Leon,2023-02-09,N
37680236066971,0608610,00872,Active,San Diego,Chula Vista Elementary,Parkview Elementary,575 Juniper Street,575 Juniper St.,Chula Vista,91911-3826,CA,575 Juniper Street,575 Juniper St.,Chula Vista,91911-3826,CA,(619) 421-5483,No Data,(619) 421-2119,http://schools.cvesd.org/schools/parkview/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.612989,-117.03115,Veronica,Valdivia,2023-02-09,N
37680236069090,0608610,00863,Active,San Diego,Chula Vista Elementary,Juarez-Lincoln Elementary,849 Twining Avenue,849 Twining Ave.,San Diego,92154-2599,CA,849 Twining Avenue,849 Twining Ave.,San Diego,92154-2599,CA,(619) 690-9222,No Data,(619) 662-9679,http://schools.cvesd.org/schools/juarezlincoln/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.580720,-117.04543,Mayra,Reyes,2024-07-22,N
37680236070825,0608610,00867,Active,San Diego,Chula Vista Elementary,Los Altos Elementary,1332 Kenalan Drive,1332 Kenalan Dr.,San Diego,92154-3731,CA,1332 Kenalan Drive,1332 Kenalan Dr.,San Diego,92154-3731,CA,(619) 690-5880,No Data,(619) 428-4712,http://schools.cvesd.org/schools/losaltos/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.572654,-117.04889,Maria,Canales,2023-09-22,Y
37680236095020,0608610,00879,Active,San Diego,Chula Vista Elementary,Tiffany (Burton C.) Elementary,1691 Elmhurst Street,1691 Elmhurst St.,Chula Vista,91913-2612,CA,1691 Elmhurst Street,1691 Elmhurst St.,Chula Vista,91913-2612,CA,(619) 421-6300,No Data,(619) 482-3115,http://schools.cvesd.org/schools/tiffany/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.644830,-116.99102,Crystal,Sutton,2021-09-02,Y
37680236095038,0608610,07680,Active,San Diego,Chula Vista Elementary,Otay Elementary,1651 Albany Avenue,1651 Albany Ave.,Chula Vista,91911-5801,CA,1651 Albany Avenue,1651 Albany Ave.,Chula Vista,91911-5801,CA,(619) 425-4311,No Data,(619) 425-2018,http://schools.cvesd.org/schools/otay/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.595806,-117.05804,Cristina,Quiroga,2023-09-22,N
37680236101026,0608610,No Data,Closed,San Diego,Chula Vista Elementary,"Rogers (Greg) Center (TMR,OH,MH,DCH)",510 E. Naples Street,510 E. Naples St.,Chula Vista,91911,CA,510 E. Naples Street,510 E. Naples St.,Chula Vista,91911,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1992-07-01 00:00:00,N,No Data,No Data,52.0,Elementary School District,09,Special Education Schools (Public),No Data,No Data,UG,Ungraded,No Data,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37680236101810,0608610,No Data,Closed,San Diego,Chula Vista Elementary,Southwestern Satellite,1468 East H Street,1468 East H St.,Chula Vista,91910-6844,CA,1468 East H Street,1468 East H St.,Chula Vista,91910-6844,CA,No Data,No Data,No Data,No Data,1980-07-01 00:00:00,1993-06-30 00:00:00,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),No Data,No Data,ELEM,Elementary,1-6,No Data,No Data,No Data,N,No Data,No Data,No Data,No Data,No Data,1999-06-24,No Data
37680236107775,0608610,09350,Active,San Diego,Chula Vista Elementary,Chula Vista Hills Elementary,980 Buena Vista Way,980 Buena Vista Way,Chula Vista,91910-7133,CA,980 Buena Vista Way,980 Buena Vista Way,Chula Vista,91910-7133,CA,(619) 482-7066,No Data,(619) 482-6823,http://schools.cvesd.org/schools/chulavistahills/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.636251,-117.00246,Aaron,Magnan,2023-02-09,N
37680236108492,0608610,09529,Active,San Diego,Chula Vista Elementary,EastLake Elementary,1955 Hillside Drive,1955 Hillside Dr.,Chula Vista,91913-1263,CA,1955 Hillside Drive,1955 Hillside Dr.,Chula Vista,91913-1263,CA,(619) 421-4798,No Data,(619) 421-4516,http://schools.cvesd.org/schools/eastlake/,1980-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.657494,-116.98515,Cynthia,Orr,2023-09-22,Y
37680236109771,0608610,10307,Active,San Diego,Chula Vista Elementary,Clear View,455 Windrose Way,455 Windrose Way,Chula Vista,91910-7400,CA,455 Windrose Way,455 Windrose Way,Chula Vista,91910-7400,CA,(619) 498-3000,No Data,(619) 498-3007,http://schools.cvesd.org/schools/clearview/,1991-09-10 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.644805,-117.04506,Ray,DeVore,2023-11-15,Y
37680236111322,0608610,02633,Active,San Diego,Chula Vista Elementary,Discovery Charter,1100 Camino Biscay,1100 Camino Biscay,Chula Vista,91910-7737,CA,1100 Camino Biscay,1100 Camino Biscay,Chula Vista,91910-7737,CA,(619) 656-0797,No Data,(619) 656-3899,http://discovery.cvesd.org/,1993-07-27 00:00:00,No Data,Y,0054,Directly funded,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-8,K-8,N,N,Y,0602290,32.641918,-117.01759,Neil,MacGaffey,2023-08-07,Y
37680236113021,0608610,05253,Active,San Diego,Chula Vista Elementary,Olympic View Elementary,1220 South Greensview Drive,1220 South Greensview Dr.,Chula Vista,91915-2127,CA,1220 South Greensview Drive,1220 South Greensview Dr.,Chula Vista,91915-2127,CA,(619) 656-2030,No Data,(619) 656-8752,http://schools.cvesd.org/schools/olympicview/,1995-07-01 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-6,K-6,N,N,Y,No Data,32.635720,-116.96342,Lisa,Lines,2023-02-09,N
37680236115646,0608610,07646,Active,San Diego,Chula Vista Elementary,Casillas (Joseph) Elementary,1130 East J Street,1130 East J St.,Chula Vista,91910-7164,CA,1130 East J Street,1130 East J St.,Chula Vista,91910-7164,CA,(619) 421-7555,No Data,(619) 421-3008,http://schools.cvesd.org/schools/casillas/,1998-07-21 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.630446,-117.00915,Nicole,Walker,2023-02-09,N
37680236115778,0608610,07649,Active,San Diego,Chula Vista Elementary,Chula Vista Learning Community Charter,590 K Street,590 K St.,Chula Vista,91911-1118,CA,590 K Street,590 K St.,Chula Vista,91911-1118,CA,(619) 426-2885,No Data,(619) 426-3048,http://schools.cvesd.org/schools/cvlcc/,1998-09-08 00:00:00,No Data,Y,0135,Directly funded,52.0,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,N,Y,0602071,32.620687,-117.08495,Edward,Caballero,2023-06-15,Y
37680236116396,0608610,08298,Active,San Diego,Chula Vista Elementary,Marshall (Thurgood) Elementary,2295 MacKenzie Creek Road,2295 MacKenzie Creek Rd.,Chula Vista,91914-3537,CA,2295 MacKenzie Creek Road,2295 MacKenzie Creek Rd.,Chula Vista,91914-3537,CA,(619) 656-6262,No Data,(619) 656-4248,http://schools.cvesd.org/schools/marshall/,1999-07-19 00:00:00,No Data,N,No Data,No Data,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,N,Y,No Data,32.659064,-116.96820,Ricardo,Cooke,2023-09-21,N
37680236116859,0608610,08299,Active,San Diego,Chula Vista Elementary,Arroyo Vista Charter,2491 School House Road,2491 School House Rd.,Chula Vista,91915-2534,CA,2491 School House Road,2491 School House Rd.,Chula Vista,91915-2534,CA,(619) 656-9676,No Data,(619) 656-1858,http://www.cvesd.org/arroyovista,1999-07-20 00:00:00,No Data,Y,0483,Directly funded,52.0,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,Y,0601645,32.638128,-116.95252,Mary-Margaret,Landers,2024-06-25,Y
