ANCHORNAME,ADDRESS,CITY,STATECODE,ZIP5,ZIP4,LATITUDE,LONGITUDE,CAICAT,BBSERVICE,PublicWifi,URL,FULLFIPSID,CAIID,CAIType,ConProvide,ConType,ConMedium,ConSpeed,geometry,index_right,BlockCode,DBA,FRN,TechCode,Consumer,MaxAdDn,MaxAdUp,MaxDnTier,MaxUpTier,Shape_Leng,Shape_Area,has_coverage
Gabriella Charter,1435 Logan Street,Los Angeles,CA,90026,3307,34.079349,-118.25708,1,Y,U,http://www.gabriellacharterschools.org,060371974202009,19647330108886,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.25707999999997 34.079349000000036 0),,,,,,,,,,,,,False
Alliance Collins Family College-Ready High,2071 Saturn Avenue,Huntington Park,CA,90255,3635,33.976919,-118.23413,1,Y,U,http://collinsfamilyjaguars.org,060375331032010,19647330108936,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.23413 33.976919000000066 0),,,,,,,,,,,,,False
Lake Street Primary,135 North Lake Street,Los Angeles,CA,90026,5320,34.067645,-118.27106,1,Y,U,No Data,060372085011002,19647330109199,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.27105999999998 34.06764500000003 0),,,,,,,,,,,,,False
Harvard Elementary,330 North Harvard Boulevard,Los Angeles,CA,90004,4412,34.076708,-118.30438,1,Y,U,http://www.harvardes-lausd-ca.schoolloop.com,060371925202011,19647330109314,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.30437999999998 34.07670800000005 0),,,,,,,,,,,,,False
Pacific Boulevard,2660 East 57th Street,Huntington Park,CA,90255,2545,33.99105,-118.22354,1,Y,U,No Data,060375325002002,19647330109322,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.22353999999996 33.99105000000003 0),,,,,,,,,,,,,False
Ricardo Lizarraga Elementary,401 East 40th Place,Los Angeles,CA,90011,5640,34.010257,-118.26846,1,Y,U,http://www.lizarraga-lausd-ca.schoolloop.com/,060372283103006,19647330109330,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26845999999995 34.010257000000024 0),,,,,,,,,,,,,False
Maywood Elementary,5200 Cudahy Avenue,Maywood,CA,90270,2405,33.993773,-118.18448,1,Y,U,http://www.maywoodes-lausd-ca.schoolloop.com,060375334031001,19647330109363,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.18447999999995 33.99377300000003 0),,,,,,,,,,,,,False
Hope Street Elementary,7560 State Street,Huntington Park,CA,90255,6133,33.969578,-118.2099,1,Y,U,http://www.hse-lausd-ca.schoolloop.com/,060375345011005,19647330109421,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.20989999999995 33.96957800000007 0),,,,,,,,,,,,,False
Maywood Academy High,6125 Pine Avenue,Maywood,CA,90270,3110,33.983116,-118.18846,1,Y,U,http://www.maywoodacademy.org,060375334032006,19647330109462,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.18845999999996 33.98311600000005 0),,,,,,,,,,,,,False
Our Community Charter,10045 Jumilla Avenue,Chatsworth,CA,91311,3507,34.252614,-118.56341,1,Y,U,http://ourcommunityschool.org,060371133221013,19647330109934,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.56340999999998 34.25261400000005 0),,,,,,,,,,,,,False
Frida Kahlo High,1924 South Los Angeles Street,Los Angeles,CA,90011,1031,34.029891,-118.2639,1,Y,U,http://fridakahlohs-lausd-ca.schoolloop.com/,060372240202003,19647330110668,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26389999999998 34.02989100000008 0),,,,,,,,,,,,,False
Alliance Patti And Peter Neuwirth Leadership Academy,4610 South Main Street,Los Angeles,CA,90037,2736,34.001568,-118.27383,1,Y,U,http://www.neuwirthleadership.org,060372285002007,19647330111492,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.27382999999998 34.00156800000008 0),,,,,,,,,,,,,False
Alliance Marc & Eva Stern Math and Science,5151 State University Drive,Los Angeles,CA,90032,4226,34.062039,-118.17365,1,Y,U,http://sternmass.org,060375307001002,19647330111658,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.17364999999995 34.06203900000003 0),,,,,,,,,,,,,False
George De La Torre Jr. Elementary,500 North Island Avenue,Wilmington,CA,90744,5524,33.77543,-118.26593,1,Y,U,http://www.lausd.net/gdlt,060372948302002,19647330111955,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.26592999999997 33.77543000000003 0),,,,,,,,,,,,,False
School of Business and Tourism at Contreras Learning Complex,322 Lucas Avenue,Los Angeles,CA,90017,1406,34.058064,-118.2617,1,Y,U,http://www.btmclc.org,060372092021003,19647330112029,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26169999999996 34.05806400000006 0),,,,,,,,,,,,,False
Panorama High,8015 Van Nuys Boulevard,Panorama City,CA,91402,6009,34.216528,-118.44883,1,Y,U,http://www.lausd.net/panorama_hs,060371200301003,19647330112052,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.44882999999999 34.21652800000004 0),,,,,,,,,,,,,False
Contreras Learning Center-Los Angeles School of Global Studies,322 Lucas Avenue,Los Angeles,CA,90017,1406,34.058064,-118.2617,1,Y,U,http://lasgs.net,060372092021003,19647330112870,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26169999999996 34.05806400000006 0),,,,,,,,,,,,,False
John H. Liechty Middle,650 South Union Avenue,Los Angeles,CA,90017,1633,34.055316,-118.27011,1,Y,U,http://www.liechtyms-lausd-ca.schoolloop.com,060372091061004,19647330114199,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.27010999999999 34.05531600000006 0),,,,,,,,,,,,,False
Monsenor Oscar Romero Charter Middle,2670 West 11th Street,Los Angeles,CA,90035,0035,34.050819,-118.29433,1,Y,U,http://morcs.ypics.org/,060372133202004,19647330114959,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.29432999999995 34.05081900000005 0),,,,,,,,,,,,,False
Discovery Charter Preparatory #2,13570 Eldridge Avenue,Sylmar,CA,91342,2343,34.31908,-118.42517,1,Y,U,http://discoveryprep.org,060371060203012,19647330115253,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.42516999999998 34.31908000000004 0),,,,,,,,,,,,,False
Jack London Community Day,12924-A Oxnard Street,Valley Glen,CA,91401,1401,34.17864,-118.41526,1,Y,U,http://www.jacklondonhs.net,060371236012005,19647330116954,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.41525999999999 34.17864000000003 0),,,,,,,,,,,,,False
Enadia Way Technology Charter,22944 Enadia Way,West Hills,CA,91307,2206,34.200001,-118.62572,1,Y,U,http://www.enadiaway.org,060371344221017,19647330117036,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.62571999999994 34.20000100000004 0),,,,,,,,,,,,,False
Alliance Leichtman-Levine Family Foundation Environmental Science High,2930 Fletcher Drive,Los Angeles,CA,90065,1407,34.113837,-118.24692,1,Y,U,http://www.llesat.org,060371864012009,19647330117606,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.24691999999999 34.113837000000046 0),,,,,,,,,,,,,False
Contreras Learning Center-Academic Leadership Community,322 Lucas Avenue,Los Angeles,CA,90017,1406,34.058064,-118.2617,1,Y,U,http://www.alccobras.net,060372092021003,19647330117721,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26169999999996 34.05806400000006 0),,,,,,,,,,,,,False
Para Los Niños Middle,835 Stanford Avenue,Los Angeles,CA,90021,1847,34.035991,-118.24714,1,Y,U,http://paralosninos.org/pln-charter-middle-school/,060372260021031,19647330117846,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.24713999999994 34.035991000000024 0),,,,,,,,,,,,,False
KIPP Raices Academy,668 Atlantic Boulevard,Los Angeles,CA,90022,1118,34.022971,-118.15613,1,Y,U,http://www.kippsocal.org/raices/index,060375317011016,19647330117903,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.15612999999996 34.02297100000004 0),,,,,,,,,,,,,False
ICEF Innovation Los Angeles Charter,3855 West Slauson Avenue,Los Angeles,CA,90043,2907,33.997092,-118.29188,1,U,U,http://www.icefps.org,060372323001004,19647330117952,Public Schools,Unknown/Did not provide,Commercial/Residential,Copper/DSL,100000,POINT Z (-118.29187999999999 33.997092000000066 0),,,,,,,,,,,,,False
Ramon C. Cortines School of Visual and Performing Arts,450 North Grand Avenue,Los Angeles,CA,90012,2123,34.059537,-118.24492,1,Y,U,http://www.central-lausd-ca.schoolloop.com,060372071012004,19647330119727,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.24491999999998 34.059537000000034 0),,,,,,,,,,,,,False
Felicitas and Gonzalo Mendez High,1200 Plaza Del Sol,Los Angeles,CA,90033,2730,34.048813,-118.22762,1,Y,U,http://www.mendezhs.org/,060372060541013,19647330119966,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.22761999999994 34.04881300000005 0),,,,,,,,,,,,,False
Watts Learning Center Charter Middle,8800 South San Pedro Street,Los Angeles,CA,90003,3541,33.95715,-118.26875,1,Y,U,http://www.wlccms.org/,060372400102009,19647330120527,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26874999999995 33.95715000000007 0),,,,,,,,,,,,,False
Dorothy V. Johnson Community Day,10601 South Grandee Avenue,Los Angeles,CA,90002,3676,33.939063,-118.24381,1,Y,U,http://www.jcds-lausd-ca.schoolloop.com,060372427003002,19647330120808,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.24380999999994 33.93906300000003 0),,,,,,,,,,,,,False
Ingenium Charter,22250 Elkwood Street,Canoga Park,CA,91304,5501,34.211776,-118.61105,1,U,U,http://ingeniumcharter.org/ics,060371343042006,19647330121137,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.61104999999998 34.21177600000004 0),,,,,,,,,,,,,False
Julie Korenstein Elementary,7650 Ben Avenue,North Hollywood,CA,91605,2728,34.209394,-118.39427,1,Y,U,No Data,060371218011008,19647330122192,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.39426999999995 34.20939400000003 0),,,,,,,,,,,,,False
Stanley Mosk Elementary,7335 Lubao Avenue,Winnetka,CA,91306,3670,34.203527,-118.56806,1,Y,U,http://www.stanleymoskes-lausd-ca.schoolloop.com,060371347202004,19647330122226,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.56805999999995 34.203527000000065 0),,,,,,,,,,,,,False
Carlos Santana Arts Academy,9301 Columbus Avenue,North Hills,CA,91343,2229,34.239214,-118.46479,1,Y,U,http://www.carlossantanaarts.org,060371171013001,19647330122234,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.46479 34.23921400000006 0),,,,,,,,,,,,,False
"Math, Science, & Technology Magnet Academy at Roosevelt High",456 South Mathews Street,Los Angeles,CA,90033,4326,34.039171,-118.21119,1,Y,U,http://mstmaatroosevelt.org,060372043002001,19647330122333,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.21118999999999 34.03917100000007 0),,,,,,,,,,,,,False
ISANA Octavia Academy,"3580 Wilshire Boulevard, Suite 1130",Los Angeles,CA,90065,2205,34.115657,-118.24078,1,Y,U,http://isanaacademies.org,060371864012006,19647330122655,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.24077999999997 34.115657000000056 0),,,,,,,,,,,,,False
Aspire Pacific Academy,"1001 22nd Avenue, Suite 100",Huntington Park,CA,90255,4126,33.990184,-118.22593,1,U,U,http://aspirepublicschools.org/locations/los-angeles/aspire-pacific-academy/,060375325002005,19647330122721,Public Schools,Unknown/Did not provide,Commercial/Residential,Copper/DSL,45000,POINT Z (-118.22592999999995 33.990184000000056 0),,,,,,,,,,,,,False
Alliance Susan and Eric Smidt Technology High,211 South Avenue 20,Los Angeles,CA,90031,2508,34.072368,-118.22022,1,Y,U,http://smidttech.org,060371997002008,19647330123133,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.22021999999998 34.07236800000004 0),,,,,,,,,,,,,False
ISANA Cardinal Academy,"3580 Wilshire Boulevard, Suite 1130",Sun Valley,CA,91352,4914,34.203587,-118.37786,1,Y,U,http://isanaacademies.org,060371230102008,19647330123984,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.37785999999994 34.20358700000003 0),,,,,,,,,,,,,False
Animo Legacy Charter Middle,"1149 S. Hill Street, Suite 600",Los Angeles,CA,90047,5240,33.920533,-118.30678,1,Y,U,http://ca.greendot.org/legacy,060376028023010,19647330124016,Public Schools,Spectrum (TWC & Charter),Terrestrial Point-to-Point,Fiber Optic,1000000,POINT Z (-118.30677999999995 33.920533000000034 0),,,,,,,,,,,,,False
Valley Academy of Arts and Sciences,10445 Balboa Boulevard,Granada Hills,CA,91344,7323,34.260352,-118.50353,1,Y,U,http://www.thevalleyacademy.net,060371113031015,19647330124362,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.50352999999996 34.26035200000007 0),,,,,,,,,,,,,False
Sotomayor Arts and Sciences Magnet,2050 San Fernando Road,Los Angeles,CA,90065,1267,34.290459,-118.44949,1,Y,U,http://www.sotomayor.la,060373203002006,19647330124412,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.44948999999997 34.290459000000055 0),,,,,,,,,,,,,False
Dr. Maya Angelou Community High,300 East 53rd Street,Los Angeles,CA,90011,4522,33.99422,-118.2701,1,Y,U,http://www.lausd.net/MayaAngelouCommunityHighSchool,060372294102002,19647330124479,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.27009999999996 33.99422000000004 0),,,,,,,,,,,,,False
Public Service Community at Diego Rivera Learning Complex,6100 South Central Avenue,Los Angeles,CA,90001,1133,33.984122,-118.25611,1,Y,U,http://www.publicservicehs.org,060375328002007,19647330124487,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,1000000,POINT Z (-118.25610999999998 33.98412200000007 0),,,,,,,,,,,,,False
Communication and Technology at Diego Rivera Learning Complex,6100 South Central Avenue,Los Angeles,CA,90001,1133,33.984122,-118.25611,1,Y,U,http://www.drlc-lausd-ca.schoolloop.com,060375328002007,19647330124495,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.25610999999998 33.98412200000007 0),,,,,,,,,,,,,False
Diego Rivera Learning Complex Green Design STEAM Academy,6100 South Central Avenue,Los Angeles,CA,90001,1133,33.984122,-118.25611,1,Y,U,http://www.drlc-lausd-ca.schoolloop.com,060375328002007,19647330124503,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.25610999999998 33.98412200000007 0),,,,,,,,,,,,,False
Performing Arts Community at Diego Rivera Learning Complex,6100 South Central Avenue,Los Angeles,CA,90001,1133,33.984122,-118.25611,1,Y,U,http://www.drlc-lausd-ca.schoolloop.com,060375328002007,19647330124511,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.25610999999998 33.98412200000007 0),,,,,,,,,,,,,False
Synergy Quantum Academy,PO Box 78999,Los Angeles,CA,90011,4522,33.99422,-118.2701,1,Y,U,http://www.synergyquantumacademy.org,060372294102002,19647330124560,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.27009999999996 33.99422000000004 0),,,,,,,,,,,,,False
"Inglewood Career Technical Education, Adult Education, Alternative Education",106 East Manchester Avenue,Inglewood,CA,90301,0301,33.961501,-118.35431,1,Y,U,http://icaas.inglewoodusd.com/,060376012112001,19646341934215,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.35430999999994 33.961501000000055 0),,,,,,,,,,,,,False
Early Learning,44327 Fig Avenue,Lancaster,CA,93534,3427,34.688087,-118.14281,1,Y,U,No Data,060379007012003,19646670121962,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.14280999999994 34.68808700000005 0),,,,,,,,,,,,,False
Carson School,3530 West 147th Street,Hawthorne,CA,90250,8518,33.898264,-118.3337,1,Y,U,http://www.lawndalesd.net,060376037061004,19646910130872,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.33369999999996 33.89826400000004 0),,,,,,,,,,,,,False
PUC Early College Academy for Leaders and Scholars (ECALS),"1405 North San Fernando Boulevard, Suite 303",Los Angeles,CA,90065,1267,34.290459,-118.44949,1,Y,U,http://www.pucschools.org/ecals,060373203002006,19647330124933,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.44948999999997 34.290459000000055 0),,,,,,,,,,,,,False
Alliance Margaret M. Bloomfield Technology Academy High,7907 Santa Fe Avenue,Huntington Park,CA,90255,6630,33.967152,-118.23061,1,U,U,http://bloomfieldhs.org,060375353001000,19647330124941,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,POINT Z (-118.23060999999996 33.967152000000056 0),,,,,,,,,,,,,False
STEM Academy at Bernstein High,1309 North Wilton Place,Hollywood,CA,90028,8526,34.095061,-118.31392,1,Y,U,http://www.stemweb.org/,060371909013004,19647330125989,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.31391999999994 34.095061000000044 0),,,,,,,,,,,,,False
Walnut Park Middle A School of Social Justice and Service Learning,7500 Marbrisa Avenue,Walnut Park,CA,90255,5612,33.971966,-118.23139,1,Y,U,No Data,060375349001005,19647330126458,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.23138999999998 33.971966000000066 0),,,,,,,,,,,,,False
"Walnut Park Middle B Science, Technology, Engineering and Mathematics Academy",7500 Marbrisa Avenue,Walnut Park,CA,90255,5612,33.971966,-118.23139,1,Y,U,http://walnutparkms-lausd-ca.schoolloop.com,060375349001005,19647330126466,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.23138999999998 33.971966000000066 0),,,,,,,,,,,,,False
Augustus Hawkins High,825 West 60th Street,Los Angeles,CA,90044,5512,33.985536,-118.288,1,Y,U,http://www.hawkinshs-lausd-ca.schoolloop.com,060372371014000,19647330126482,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.28799999999995 33.985536000000025 0),,,,,,,,,,,,,False
Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,6361 Cottage Street,Huntington Park,CA,90255,3521,33.981804,-118.23372,1,Y,U,http://hpiam.marquezhs.net,060375326075007,19647330126516,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.23371999999995 33.98180400000007 0),,,,,,,,,,,,,False
Linda Esperanza Marquez High B LIBRA Academy,6361 Cottage Street,Huntington Park,CA,90255,3521,33.981804,-118.23372,1,Y,U,No Data,060375326075007,19647330126524,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.23371999999995 33.98180400000007 0),,,,,,,,,,,,,False
Linda Esperanza Marquez High C School of Social Justice,6361 Cottage Street,Huntington Park,CA,90255,3521,33.981804,-118.23372,1,Y,U,http://www.ssjmhs.marquezhs.net,060375326075007,19647330126532,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.23371999999995 33.98180400000007 0),,,,,,,,,,,,,False
Mervyn M. Dymally High,8800 South San Pedro Street,Los Angeles,CA,90003,3541,33.95715,-118.26875,1,Y,U,http://www.dymallyhs-lausd-ca.schoolloop.com,060372400102009,19647330126573,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26874999999995 33.95715000000007 0),,,,,,,,,,,,,False
Harry Bridges Span,1235 Broad Avenue,Wilmington,CA,90744,2619,33.787786,-118.2614,1,Y,U,No Data,060372946101005,19647330126581,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.26139999999998 33.78778600000004 0),,,,,,,,,,,,,False
Aspire Centennial College Preparatory Academy,"1001 22nd Avenue, Suite 100",Huntington Park,CA,90255,3635,33.97744,-118.23388,1,U,U,http://aspirepublicschools.org,060375331032010,19647330126797,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,45000,POINT Z (-118.23387999999994 33.97744000000006 0),,,,,,,,,,,,,False
Early College Academy-LA Trade Tech College,400 West Washington Boulevard,Los Angeles,CA,90015,4108,34.033179,-118.27006,1,Y,U,http://www.ecalattc.org,060372240201010,19647330127803,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.27005999999994 34.033179000000075 0),,,,,,,,,,,,,False
PREPA TEC - Los Angeles,8001 Santa Fe Avenue,Walnut Park,CA,90255,4138,33.966392,-118.23059,1,Y,U,http://www.prepatecmiddleschool.org,060375353001000,19647330127936,Public Schools,TPx Communications,Commercial/Residential,Fiber Optic,500000,POINT Z (-118.23058999999995 33.96639200000004 0),,,,,,,,,,,,,False
Ingenium Charter Middle,7330 Winnetka Avenue,Winnetka,CA,91306,2905,34.202184,-118.56885,1,Y,U,http://ingeniumcharterms.org/icms,060371347202004,19647330127985,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.56884999999994 34.202184000000045 0),,,,,,,,,,,,,False
Extera Public School No. 2,3626 E. 5th Street 2nd Floor,Los Angeles,CA,90023,2222,34.025523,-118.20272,1,Y,U,http://exteraschools.org,060372048103012,19647330128132,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,155000,POINT Z (-118.20271999999994 34.02552300000008 0),,,,,,,,,,,,,False
Dr. Sammy Lee Medical and Health Science Magnet Elementary,3600 Council Street,Los Angeles,CA,90004,4840,34.074011,-118.28862,1,Y,U,http://www.drsammyleemag-lausd-ca.schoolloop.com/,060372111221008,19647330128710,Public Schools,AT&T,Terrestrial Point-to-Multipoint,Fiber Optic,100000,POINT Z (-118.28861999999998 34.07401100000004 0),,,,,,,,,,,,,False
Equitas Academy #3 Charter,1050 Beacon Avenue,Los Angeles,CA,90015,0015,34.048537,-118.27591,1,U,U,http://eq3.equitasacademy.org,060372095201004,19647330129650,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.27590999999995 34.04853700000007 0),,,,,,,,,,,,,False
KIPP Ignite Academy,9110 South Central Avenue,Los Angeles,CA,90002,1743,33.953599,-118.25609,1,U,U,http://www.kippsocal.org/ignite/index,060372400203011,19647330131771,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.25608999999997 33.953599000000054 0),,,,,,,,,,,,,False
Collegiate Charter High School of Los Angeles,725 South Indiana Street,Los Angeles,CA,90023,1840,34.026,-118.19331,1,U,U,http://www.collegiatecharterhighschooloflosangeles.org,060372049101004,19647330131821,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.19330999999994 34.02600000000007 0),,,,,,,,,,,,,False
"Girls Academic Leadership Academy, Dr. Michelle King School for Sci, Tech, Eng and Math",1067 West Boulevard,Los Angeles,CA,90019,1839,34.055341,-118.33152,1,U,U,http://www.galacademy.org,060372128003000,19647330133603,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.33151999999995 34.055341000000055 0),,,,,,,,,,,,,False
Fourth Street Primary Center,469 Amalia Avenue,Los Angeles,CA,90022,2627,34.027352,-118.15445,1,U,U,http://4thstpc-lausd-ca.schoolloop.com,060375303011038,19647330133744,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.15444999999994 34.027352000000064 0),,,,,,,,,,,,,False
WISH Academy High,7400 West Manchester Avenue,Los Angeles,CA,90045,2322,33.957763,-118.42888,1,U,U,http://www.wishcharter.org,060372766081001,19647330135632,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.42887999999999 33.95776300000006 0),,,,,,,,,,,,,False
Horace Mann UCLA Community,7001 South Saint Andrews Place,Los Angeles,CA,90047,1833,33.976593,-118.31225,1,U,U,No Data,060372373004012,19647330135681,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.31224999999995 33.97659300000004 0),,,,,,,,,,,,,False
Katherine Johnson STEM Academy,8701 Parkhill Drive,Los Angeles,CA,90045,3437,33.957938,-118.42675,1,U,U,http://kjstemacademy.org,060372766081001,19647330135707,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.42674999999997 33.95793800000007 0),,,,,,,,,,,,,False
Ednovate - Brio College Prep,350 South Figueroa Street Suite 100,Los Angeles,CA,90071,1115,34.053718,-118.255,1,U,U,http://www.ednovate.org/brio,060372075022007,19647330135723,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.25499999999994 34.05371800000006 0),,,,,,,,,,,,,False
WISH Community,6550 West 80th Street,Los Angeles,CA,90045,1127,33.96779,-118.40387,1,U,U,http://www.wishcharter.org,060372770001006,19647330135921,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.40386999999998 33.967790000000036 0),,,,,,,,,,,,,False
High Tech LA Middle,17111 Victory Boulevard,Van Nuys,CA,91411,3738,34.169504,-118.45123,1,U,U,http://www.htla-ms.org,060371288023008,19647330137471,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.45122999999995 34.169504000000074 0),,,,,,,,,,,,,False
Equitas Academy 5,1050 Beacon Avenue,Los Angeles,CA,90015,1910,34.048423,-118.2761,1,U,U,http://eq5.equitasacademy.org,060372095201004,19647330139121,Public Schools,Unknown/Did not provide,Unknown/Did not provide,Unknown/Did not provide,0,POINT Z (-118.27609999999999 34.04842300000007 0),,,,,,,,,,,,,False
